15:14:46##[['15:14', 'Burger Gezond', 1182], ['15:14', 'Burger De Grote Honger', 318]]
15:15:16##[['15:15', 'Burger Gezond', 1182], ['15:15', 'Burger De Grote Honger', 318]]
15:15:46##[['15:15', 'Burger Gezond', 1182], ['15:15', 'Burger De Grote Honger', 318]]
15:16:16##[['15:16', 'Burger Gezond', 1182], ['15:16', 'Burger De Grote Honger', 318]]
15:16:46##[['15:16', 'Burger Gezond', 1182], ['15:16', 'Burger De Grote Honger', 318]]
15:17:16##[['15:17', 'Burger Gezond', 1182], ['15:17', 'Burger De Grote Honger', 318]]
15:17:46##[['15:17', 'Burger Gezond', 1182], ['15:17', 'Burger De Grote Honger', 318]]
15:18:16##[['15:18', 'Burger Gezond', 1182], ['15:18', 'Burger De Grote Honger', 318]]
15:18:46##[['15:18', 'Burger Gezond', 1182], ['15:18', 'Burger De Grote Honger', 318]]
15:19:16##[['15:19', 'Burger Gezond', 1182], ['15:19', 'Burger De Grote Honger', 318]]
15:19:46##[['15:19', 'Burger Gezond', 1182], ['15:19', 'Burger De Grote Honger', 318]]
15:20:18##[['15:20', 'Burger Gezond', 1182], ['15:20', 'Burger De Grote Honger', 318]]
15:20:48##[['15:20', 'Burger Gezond', 1182], ['15:20', 'Burger De Grote Honger', 318]]
15:21:18##[['15:21', 'Burger Gezond', 1182], ['15:21', 'Burger De Grote Honger', 318]]
15:21:48##[['15:21', 'Burger Gezond', 1182], ['15:21', 'Burger De Grote Honger', 318]]
15:22:18##[['15:22', 'Burger Gezond', 1182], ['15:22', 'Burger De Grote Honger', 318]]
15:22:48##[['15:22', 'Burger Gezond', 1182], ['15:22', 'Burger De Grote Honger', 318]]
15:23:18##[['15:23', 'Burger Gezond', 1182], ['15:23', 'Burger De Grote Honger', 318]]
15:23:48##[['15:23', 'Burger Gezond', 1182], ['15:23', 'Burger De Grote Honger', 318]]
15:24:18##[['15:24', 'Burger Gezond', 1182], ['15:24', 'Burger De Grote Honger', 318]]
15:24:21##[['15:24', 'Burger Gezond', 1182], ['15:24', 'Burger De Grote Honger', 318]]
15:24:29##[['15:24', 'Burger Gezond', 1182], ['15:24', 'Burger De Grote Honger', 318]]
15:24:59##[['15:24', 'Burger Gezond', 1182], ['15:24', 'Burger De Grote Honger', 318]]
15:25:29##[['15:25', 'Burger Gezond', 1182], ['15:25', 'Burger De Grote Honger', 318]]
15:26:6##[['15:26', 'Burger Gezond', 1182], ['15:26', 'Burger De Grote Honger', 318]]
15:26:20##[['15:26', 'Burger Gezond', 1182], ['15:26', 'Burger De Grote Honger', 318]]
15:26:50##[['15:26', 'Burger Gezond', 1182], ['15:26', 'Burger De Grote Honger', 318]]
15:27:3##[['15:27', 'Burger Gezond', 1182], ['15:27', 'Burger De Grote Honger', 318]]
15:27:9##[['15:27', 'Burger Gezond', 1182], ['15:27', 'Burger De Grote Honger', 318]]
15:27:39##[['15:27', 'Burger Gezond', 1182], ['15:27', 'Burger De Grote Honger', 318]]
15:28:9##[['15:28', 'Burger Gezond', 1182], ['15:28', 'Burger De Grote Honger', 318]]
